ParcelNumber,Date,Price,ConveyanceTax
4590020280000,2024-04-16T10:00:00Z,3500000,21000.00
4580120200000,2024-03-12T10:00:00Z,2200000,13200.00
4580110530000,2024-05-31T10:00:00Z,2035000,12210.00
4580110270030,2024-03-20T10:00:00Z,675000,1687.50
4580110250000,2024-03-01T10:00:00Z,1950000,7800.00
4580090390000,2024-03-14T10:00:00Z,415000,415.00
4580090300001,2024-02-28T10:00:00Z,1425000,5700.00
4580080140000,2024-02-13T10:00:00Z,1000000,3000.00
4580060600002,2024-02-12T10:00:00Z,610000,1220.00
4580060250000,2024-03-06T10:00:00Z,1600000,6400.00
4580060030000,2024-02-16T10:00:00Z,1565000,6260.00
4580040270002,2024-01-31T10:00:00Z,750000,1875.00
4580040190000,2024-01-04T10:00:00Z,1850000,7400.00
4580040110000,2024-01-31T10:00:00Z,1800000,8575.00
4580040100000,2024-01-31T10:00:00Z,1800000,8575.00
4560040110000,2024-05-29T10:00:00Z,1500000,6000.00
4550090070000,2024-05-21T10:00:00Z,1305200,3915.60
4550050060000,2024-01-29T10:00:00Z,3950000,23700.00
4550020270000,2024-02-20T10:00:00Z,4540000,0.00
4550020270000,2024-02-20T10:00:00Z,4540000,31780.00
4550020030001,2024-01-23T10:00:00Z,17800000,222500.00
4540200120000,2024-01-30T10:00:00Z,2060000,10300.00
4540200040000,2024-05-10T10:00:00Z,1945000,5835.00
4540180600000,2024-04-30T10:00:00Z,1774000,5322.00
4540170120000,2024-03-28T10:00:00Z,2450000,12250.00
4540160870000,2024-02-23T10:00:00Z,1900000,7600.00
4540160250000,2024-03-11T10:00:00Z,2725000,16350.00
4540150210064,2024-03-21T10:00:00Z,1229999,4920.00
4540150210060,2024-03-20T10:00:00Z,1105000,4420.00
4540150210005,2024-05-28T10:00:00Z,980260,2450.70
4540150070000,2024-01-03T10:00:00Z,1430000,5720.00
4540140160000,2024-02-20T10:00:00Z,3200000,19200.00
4540130690000,2024-06-17T10:00:00Z,2200000,11000.00
4540130230000,2024-02-01T10:00:00Z,5940000,50480.00
4540120110040,2024-02-07T10:00:00Z,2595000,ERROR
4540120100009,2024-03-20T10:00:00Z,1529000,6116.00
4540110030018,2024-01-19T10:00:00Z,2160000,12960.00
4540110030010,2024-04-25T10:00:00Z,1600000,6400.00
4540090340000,2024-02-29T10:00:00Z,4900000,34300.00
4540090150000,2024-01-29T10:00:00Z,2100000,12600.00
4540080510000,2024-03-07T10:00:00Z,3160000,18960.00
4540080070000,2024-01-02T10:00:00Z,1225710,3677.10
4540070060000,2024-04-26T10:00:00Z,3999999,24000.00
4540060010029,2024-03-12T10:00:00Z,1600000,6400.00
4540050390103,2024-06-13T10:00:00Z,1050000,ERROR
4540050390007,2024-03-21T10:00:00Z,759000,1518.00
4540050270013,2024-06-19T10:00:00Z,885000,1770.00
4540050240083,2024-06-27T10:00:00Z,1668500,6674.00
4540050240040,2024-01-22T10:00:00Z,1470000,5880.00
4540050240022,2024-05-28T10:00:00Z,1550000,6200.00
4540050230064,2024-01-22T10:00:00Z,1375000,5500.00
4540050230025,2024-06-28T10:00:00Z,1175000,4700.00
4540050230024,2024-06-05T10:00:00Z,1599000,6396.00
4540050180095,2024-03-18T10:00:00Z,1040000,4160.00
4540050180040,2024-03-28T10:00:00Z,995000,2487.50
4540050180035,2024-06-06T10:00:00Z,965000,1930.00
4540050180004,2024-03-11T10:00:00Z,630600,1576.50
